"num_removed","FID","CIID1","CIID2"
0,0.0798785086710497,5.63575194773502,0.0614284192361608
1,0.210692793531149,6.51081479594512,0.0868367369718854
2,0.494820684594364,8.00896065111599,0.134457517957691
3,0.678995127411299,13.1710348195302,0.364625361509436
4,1.44022622565309,8.31236026947925,0.135849169480888
5,2.57907492179853,8.65250794749579,0.137435538101737
6,2.49279185390136,12.2330875199329,0.234303896389688
7,3.21423275910278,12.1456873698815,0.235246905376609
8,5.52751792118062,14.9314321109017,0.374652200063358
9,5.45969685144505,14.551692857145,0.385929407951149
10,5.54617931168827,16.0063089586237,0.503718792120215
11,8.93639417624712,18.5483138876867,0.626229742910154
12,10.2224354493114,27.9600817526026,1.38916574274857
13,12.8079732510975,32.8051614083943,2.00264498176211
14,16.7555908481551,32.280650155398,2.17227614375529
15,21.286348658514,45.9702697825112,5.20994277300599
16,21.9767262743766,52.4652067006533,7.17497903728509
17,24.4454457153349,47.6305391816662,7.93529456477023
18,38.6602574452925,65.4150134494959,15.0566065168153
