"n","FID","CIID1","CIID2"
200,0.0379999999999199,0.00200000000004366,0.00599999999994908
400,0.0410000000001673,0.00499999999992725,0.00600000000013098
600,0.0479999999999563,0.00699999999997091,0.00700000000015281
800,0.0559999999995853,0.0110000000002401,0.00799999999999274
1000,0.0539999999993597,0.0160000000003493,0.0150000000003274
1200,0.0570000000001528,0.0110000000000582,0.0169999999998254
1400,0.068999999999869,0.0189999999996872,0.0130000000002838
1600,0.0710000000000946,0.0180000000000291,0.0200000000000728
1800,0.0849999999998544,0.0199999999998909,0.0220000000001164
2000,0.0809999999999491,0.0230000000001382,0.025
2200,0.0869999999998982,0.0239999999999782,0.0280000000000655
2400,0.0890000000001237,0.0359999999998763,0.0239999999999782
2600,0.100000000000364,0.0319999999999709,0.0409999999996216
2800,0.1,0.0360000000000582,0.0350000000000363
3000,0.103999999999723,0.0420000000000073,0.0330000000001746
3200,0.120000000000073,0.0349999999998545,0.0520000000000436
3400,0.106999999999971,0.0410000000001673,0.043999999999869
3600,0.121000000000095,0.0500000000001819,0.0430000000000291
3800,0.119999999999891,0.05,0.0449999999998908
4000,0.13600000000024,0.0480000000003201,0.0459999999997308
4200,0.130000000000291,0.0540000000002692,0.0579999999999927
4400,0.14199999999928,0.0509999999992942,0.0540000000011787
4600,0.139000000000306,0.0689999999996871,0.0510000000000218
4800,0.147999999999956,0.0659999999999854,0.05
5000,0.146999999999934,0.0880000000001019,0.0520000000000437
5200,0.147999999999956,0.0610000000000582,0.0689999999998691
5400,0.156000000000131,0.0640000000003056,0.06299999999992
5600,0.180000000000291,0.0839999999998327,0.0590000000000146
5800,0.161000000000058,0.0780000000000655,0.0789999999999054
6000,0.185000000000218,0.0869999999998982,0.0679999999996653
6200,0.190000000000145,0.0869999999998981,0.0649999999997817
6400,0.188000000000466,0.0989999999997963,0.0719999999997526
6600,0.199999999999818,0.0889999999999418,0.081000000000131
6800,0.210000000000219,0.0989999999999782,0.0779999999998836
7000,0.245000000000073,0.0860000000000582,0.0959999999999127
7200,0.209000000000015,0.0980000000001383,0.0840000000000145
7400,0.218000000000393,0.0909999999999855,0.0839999999998327
7600,0.218000000000211,0.0920000000000074,0.0979999999997744
7800,0.223999999999796,0.102000000000044,0.0810000000001309
8000,0.233000000000356,0.109000000000015,0.0859999999996944
8200,0.236000000000422,0.104999999999927,0.0949999999997089
8400,0.236000000000058,0.110000000000036,0.0949999999998909
8600,0.245000000000073,0.109999999999854,0.103000000000247
8800,0.260000000000036,0.0989999999999782,0.104999999999745
9000,0.259000000000015,0.104000000000087,0.102000000000044
9200,0.277999999999884,0.109999999999855,0.104000000000087
9400,0.2850000000004,0.109999999999309,0.113999999999942
9600,0.273999999999614,0.130000000000291,0.113000000000284
9800,0.268999999999869,0.144999999999709,0.114000000000124
10000,0.268000000000029,0.141999999999825,0.111999999999716
