"n","FID","CIID-1","CIID-2"
1000,0.00308656400813991,1.76127333983962,0.0935729936333161
1050,0.00544956190189497,1.63317071383256,0.0873606661245012
1100,0.00474963415395413,1.80107001292965,0.11729207052723
1150,0.00381630521968062,1.74226313727567,0.101562474759362
1200,0.0131701230214329,2.0425162861027,0.0981746280553736
1250,0.00328706660446084,1.73304204117306,0.0902472961069684
1300,0.00690110966133836,1.78930577198481,0.0863338851267558
1350,0.00357683479219892,1.60063397085336,0.0806792487960789
1400,0.00183680884985187,1.29799259360588,0.0563067462618238
1450,0.00299092595893761,1.88109058702522,0.0944367562933209
1500,0.00951490036463778,1.73811853787595,0.0909484210009737
1550,0.00483144123787266,1.5565093620281,0.0661680747234655
1600,0.0041337808908055,1.69750412329634,0.0967077726874692
1650,0.00355206554280023,1.65087920042262,0.0770402010231452
1700,0.00545208383589942,1.64203222956901,0.0844463673914798
1750,0.00104936098817696,1.74505461175442,0.0950377677487846
1800,0.00327831052052446,1.90491409940692,0.110000048981331
1850,0.00603040319940285,1.58939139038275,0.0726635225372059
1900,0.00410237067076353,1.72355898905728,0.0821791038807556
1950,0.00138974539152665,1.48092031340104,0.0736669854949961
2000,0.00280003330773593,1.65967878801616,0.0916513415153885
2050,0.000386820446295083,1.70608481598852,0.0804537934701339
2100,0.00165934247735988,1.77245180747829,0.0781857508478511
2150,0.00270491879669799,1.60824161423109,0.0707040368159607
2200,0.00453240403134916,1.43770378237108,0.0774531314944875
2250,0.00120660860180466,1.93416849365063,0.123025026669395
2300,0.0029409709087603,1.74523264905353,0.092061775871785
2350,0.00122030551427046,1.74114677643552,0.0865196519926201
2400,0.00457514935975555,1.89419897502165,0.107665976838336
2450,0.00654447289861514,1.76631848954261,0.0986068365762023
2500,0.00790158571568319,1.69387245361838,0.0832947864553133
2550,0.00192164150390488,1.45244620488108,0.0625520644213559
2600,0.00188470609518501,1.81039436091053,0.0941308104758972
2650,0.00165306618447087,1.86312621968939,0.0926591662764087
2700,0.00147464387794235,1.69641057596075,0.0902681979530091
2750,0.0016680854324695,1.60166704248134,0.0788016447555958
2800,0.0054817312259076,1.62743978840855,0.0832300819595192
2850,0.00123816124294969,1.66997720699285,0.091954921415752
2900,0.00179777313974493,1.56972915127376,0.0846451518160007
2950,0.000860939283918903,1.67329518337077,0.0810595799895104
3000,0.00232041313597087,1.75070308212591,0.0927674098333466
3050,0.00225978498273414,1.68200311043544,0.0720245938505156
3100,0.00145548481329051,1.74915821351812,0.0954613415539023
3150,0.00267734659697657,1.61023642760117,0.081511166875488
3200,0.000722507606889326,1.66962840415709,0.09370165127843
3250,0.00222234405418158,1.54615126573993,0.0788089295940501
3300,0.00150465774895536,1.47219154889734,0.0663581782764569
3350,0.00237495596318604,1.69672224743209,0.0794394126102282
3400,0.000627305136271344,1.71118356480669,0.0872947828925701
3450,0.00335270331547813,1.64546841762167,0.0895233468697068
3500,0.00144339335046753,1.63769404228538,0.0787064448495995
3550,0.000462218543151327,1.83160073418756,0.0934012517581881
3600,0.0016246306196262,1.57918550795962,0.0681098190378484
3650,0.00067899888199053,1.65177776995236,0.0890053583558431
3700,0.00166166507753397,1.67906401729858,0.092896687202207
3750,0.00121569590662884,1.68005762308389,0.0798544066363833
3800,0.00066978613726265,1.62120102716683,0.0853602965410769
3850,0.00249847150799324,1.62138416409154,0.0733026525495821
3900,0.00294426038070362,1.63010083580536,0.0800118612078025
3950,0.00166311326591404,1.5646050422596,0.082676684915429
4000,0.000896986088582417,1.69737273685701,0.0903587807823376
4050,0.00432392911934722,1.72199569881801,0.0873002281502137
4100,0.00129256524410934,1.71843071496081,0.105553758684665
4150,0.00112710397468248,1.6474653490563,0.0875205813409213
4200,0.000426558753855585,1.63457054965116,0.0887539607976704
4250,0.000902200202410765,1.75231448169123,0.082612920324603
4300,0.000741702153524158,1.71355905866696,0.0930400492246255
4350,0.0014009837004332,1.63101371015597,0.0776654259517272
4400,0.000641957544017517,1.51169699334018,0.0749946962055447
4450,0.0033628982855204,1.76167316921713,0.0821987631385792
4500,0.00200586224125079,1.56404482526287,0.0751143851066306
4550,0.000654046767448008,1.61711287426501,0.0839655692046486
4600,0.00117159718983076,1.65103022480596,0.0809507321197182
4650,0.000950648740287601,1.69036131977956,0.0931905304446052
4700,0.00201377608044974,1.61984096204801,0.0839243575017601
4750,0.00104919485087375,1.63574135586015,0.0784517364465433
4800,0.000687164919219605,1.66872110660069,0.0922925324114252
4850,0.000829712672056549,1.71180105615721,0.0879081382653921
4900,4.76238824196285e-05,1.68620645833761,0.0887232722380921
4950,0.000442787954963931,1.65481491103316,0.0787685439145023
