"m","FID","CIID-1","CIID-2"
0,0.000661959854393456,0.157872302041608,0.000555406574118615
0.01,0.00077385472043453,0.232076816953163,0.00156769606261206
0.02,0.000487420373148392,0.224135774911278,0.00128402509308311
0.03,0.00147097523050947,0.173495680823382,0.000829564120449575
0.04,0.000582802333339124,0.176895174976343,0.000905085175612503
0.05,0.000966707675249147,0.206216617962707,0.00144939455656983
0.06,0.00120265074552018,0.17698055862662,0.000675377624498076
0.07,0.000618213330160442,0.192176059761283,0.000990501399866931
0.08,0.000618827398500726,0.143755283414354,0.000527405822529644
0.09,0.000401196926768035,0.194551972034956,0.000865095214730613
0.1,0.000298273423275303,0.284462881013019,0.00212726168849881
0.11,0.000707042088871635,0.241472406179315,0.00135853390675934
0.12,0.000416247303038374,0.18097354375886,0.000641193686410348
0.13,0.000652868000012571,0.127482524432372,0.000346783468947783
0.14,0.00133631677170211,0.23019890049784,0.00110769344041079
0.15,6.65075755568081e-05,0.155894546747016,0.000540473502658561
0.16,0.000888536450400133,0.204935690001102,0.00109188191184966
0.17,0.000841383253977728,0.190177499518259,0.00104433303887847
0.18,0.000117231664163928,0.28300295171774,0.00179948274672745
0.19,0.000425356860851369,0.275984713907825,0.00175669490625375
0.2,0.000525044049834623,0.327698054856156,0.00260983544994567
0.21,0.000404216870324252,0.141433516804837,0.000448491896870152
0.22,0.000538266828609149,0.240439135431485,0.00163028002431535
0.23,0.000721526469766669,0.191887903366802,0.000857202365868172
0.24,0.000995201075804376,0.106913811376476,0.000272770003886954
0.25,0.000531223997128416,0.180004438445023,0.000891801375128947
0.26,0.00223648545291227,0.179365111278566,0.00109744306965582
0.27,0.00122690537930377,0.208092078894122,0.00112024383568715
0.28,0.00216547603866385,0.171705460886599,0.000794409331095642
0.29,0.000678122899715888,0.160037798857748,0.000723783285057325
0.3,0.000877212545264008,0.227561183471693,0.00125693585329569
0.31,0.000747755572077347,0.26718926844962,0.00197080954307085
0.32,0.000545979185507116,0.171711466502642,0.000740516595224327
0.33,0.000475104283681077,0.202089291030852,0.0011656837630372
0.34,0.00092738384238001,0.1872537864071,0.000842176745753383
0.35,0.000765586355288785,0.176052910433221,0.000743561372174616
0.36,0.000279439014023903,0.235134791047442,0.00114004558310909
0.37,0.00158941792011421,0.173456239219087,0.000665384204758103
0.38,0.000481473099098612,0.259533653698795,0.00167954819361432
0.39,0.000669764405886256,0.141309874876995,0.000527668037545149
0.4,0.000840580738242783,0.145996397201011,0.000495282541047683
0.41,0.000724623580323018,0.244001876726298,0.00120607008211395
0.42,0.000167642177738855,0.195391660348699,0.000773197241619569
0.43,0.000893838236434027,0.151526885227948,0.000607957646110931
0.44,0.000513980959123934,0.229469895415063,0.00111814074925607
0.45,0.00103029633497628,0.194489521171151,0.000892147835041165
0.46,0.000272814674669675,0.196042743417577,0.00115031975865633
0.47,0.00113596970487511,0.198555129974611,0.000714541117981148
0.48,0.00106109992663424,0.250690636194385,0.00147779521620299
0.49,0.000899596217984066,0.194661257991351,0.00088044817983616
0.5,0.000414825479270186,0.204930497701324,0.000860401458205838
0.51,0.000205390501546125,0.204381564879614,0.00083185418838849
0.52,0.0010602400077041,0.241620450451907,0.00121324673549691
0.53,0.000884310431261092,0.201335972128187,0.00108317224715795
0.54,0.000386278230456962,0.207241877737233,0.00114647512963867
0.55,0.00110075680367284,0.233556704975642,0.00162786538543825
0.56,0.000876655643945381,0.223015742020593,0.000955558884019579
0.57,0.00058335229412869,0.149996671706516,0.000398512673026236
0.58,0.00036535910216569,0.271237997477548,0.00248575348599897
0.59,0.000314010325319285,0.25612953189349,0.0015429939553864
0.6,0.00129656057296955,0.266247599066874,0.00211208222781173
0.61,0.000440357550098178,0.339838970815714,0.00283906554282258
0.62,0.000537441265171658,0.237922929636422,0.0011587778740363
0.63,0.000424912673459299,0.315005722729841,0.00231572128644801
0.64,0.00019801951739924,0.393860999268288,0.00340722996994765
0.65,0.000590266133878272,0.336112830192197,0.00310302726892216
0.66,0.000541152540564985,0.307480894412135,0.00220418301643488
0.67,0.000667684508661222,0.30432128690124,0.00232284922114001
0.68,0.000101014041855481,0.309670992585911,0.00207885500377923
0.69,0.00090048046739552,0.251867599738112,0.0013662500129658
0.7,0.000790626889280073,0.347421496090785,0.00334529980733851
0.71,0.000219417793989422,0.381955586630249,0.00445584980631785
0.72,0.000708080426224075,0.409718849192041,0.00330188983252895
0.73,0.000763035149825095,0.421190783876791,0.00369095395662536
0.74,0.000535114502773335,0.375644195684283,0.00344045804959363
0.75,0.00106885155009483,0.535817160897141,0.00733022472924623
0.76,0.000615774952532054,0.400163449054712,0.003247888911013
0.77,0.000502458130555367,0.509226666137144,0.00586316432686389
0.78,0.00103165742883584,0.465374475437129,0.00556998394649805
0.79,0.00107323693681683,0.559561679777988,0.00607435227851537
0.8,0.000355395321875404,0.565438428582167,0.00729800973937275
0.81,0.00026921741584515,0.635929293485408,0.0101292131001242
0.82,0.000345156274179456,0.785714773495314,0.015750597831983
0.83,0.000526718697613675,0.758937866557905,0.0135171066414956
0.84,0.000444299381612676,0.772012528000552,0.0133437449044793
0.85,0.000291550588902539,0.796392915239059,0.0156250221999719
0.86,0.00134457812738352,0.861491415889135,0.0205143210689397
0.87,0.000686250265655686,0.876683891459513,0.0194827053293467
0.88,0.00175929182696027,1.01025160148086,0.0307862845068899
0.89,0.000534319269160162,0.916157619763441,0.0204501167997153
0.9,0.000455821196382721,1.08620907220687,0.0312351063503246
0.91,0.000191281575380372,1.11749673319704,0.0394211043840834
0.92,0.000247725953481637,1.2832187651329,0.045563141716604
0.93,0.000221952687713363,1.44504790393473,0.0575934860848854
0.94,0.000216055079767917,1.43178090965547,0.0578509778143192
0.95,0.000275921599095335,1.69697139008664,0.083406830350077
0.96,0.000345306975717022,1.78580367826049,0.103717391647104
0.97,0.0004055670162636,1.90213103548471,0.124160928381336
0.98,0.00143441912907312,2.12665003216233,0.162777877569897
0.99,0.000648462557576504,2.48855943081624,0.24199449772521
