"k","PQMass","CIID","CIID2"
1,178.577250911568,36.0026657575623,18.5810767658134
1.1,168.280103590139,36.736826310232,19.0579424114628
1.2,72.4953615755457,36.0490172459397,18.6045818191979
1.3,69.4151480342154,36.6818190823297,19.2007182929701
1.4,51.5926288538821,36.9851409519204,19.6025019005056
1.5,19.2558745029204,37.1090422430303,19.9130994231226
1.6,24.1328017174751,37.2660280496854,20.1854606277189
1.7,17.1601318641869,38.1570358191098,20.9160171625999
1.8,12.7403762646465,38.0410701671749,20.8585317219609
1.9,10.3263691496943,38.3640909815547,21.3250992381062
2,6.43711267775336,39.3007153907061,21.975801720594
2.1,10.0365821827201,39.3388133600489,22.1922056829045
2.2,4.45020120634967,39.9181964858926,22.7418858047872
2.3,6.4689740158592,40.0425435365702,22.9544745460574
2.4,1.81784404891377,40.5322875847833,23.6180288416111
2.5,2.5190695980662,41.3032235071547,24.0860639898041
2.6,0.494867905689849,41.6900391421934,24.7307894557177
2.7,0.865338916381628,42.2366891900615,24.939773483272
2.8,2.18732548085191,42.6658876942827,25.599872592418
2.9,2.27779917159599,43.5633507834084,26.0396626648725
3,3.16784437440703,44.8090485331806,26.9690256936071
3.1,2.38287259641596,44.6679972683765,27.0738707725247
3.2,7.69852928634281,45.0433395009734,27.384946929957
3.3,3.32095892013892,45.9647388222148,28.0304170208936
3.4,1.92071186364588,46.9016290600413,28.4833836179179
3.5,0.874438367635954,47.505999291632,28.8622942606446
3.6,4.33228761575143,47.9918137138611,29.1559334987358
3.7,1.83225709941648,48.5540057824981,29.5329741384018
3.8,8.10375334546068,49.7439129577154,30.3295208170413
3.9,3.87855450171675,50.4822279684712,30.5320621666988
4,3.47770757185912,50.9043985141319,30.7696097918776
4.1,1.84609963599129,52.2967442762485,31.7311432548877
4.2,0.544864279611837,52.1044769203268,31.5302504709991
4.3,0.749110819906089,53.4980851850969,32.1846276936441
4.4,2.40045325950429,54.1106022778397,32.1142428413352
4.5,1.96091303695177,55.1424034102868,32.6644038978797
4.6,1.05503677614094,56.1803721010332,33.2803351118048
4.7,3.24504477179211,57.1762974451951,33.5095612514999
4.8,1.97216249553676,58.6245235836787,34.2483595826929
4.9,4.50532123024908,58.2492173240145,33.7847433992096
5,3.6929033961823,59.248015060058,34.1863882351403
5.1,2.70055779702449,61.1921031184967,34.83827703094
5.2,4.78118777830688,62.5450462513653,35.4797723507228
5.3,7.00149879942297,62.838191898487,35.0808109932479
5.4,6.75015040856734,64.6181700464643,35.8046529987408
5.5,6.18984066158619,64.0942541442791,35.1039014604624
5.6,3.42011507282259,66.445426344659,36.4045081882608
5.7,4.80451554178208,67.8545533653382,36.6367508366992
5.8,6.86303348732816,67.9154409137868,36.4940281982221
5.9,4.47238520475608,69.8101407962903,37.1323568783706
6,4.42484187128292,71.1362344538609,37.485688374982
6.1,1.62561619968151,73.0527361967787,38.2878956228761
6.2,0.914312753846445,74.183755946363,38.5927408184698
6.3,1.86117766810405,75.1061737225504,38.6516871033715
6.4,2.55051276716506,76.6293378703076,38.8932883501058
6.5,0.0323113226241997,77.8186981476565,39.1691930077333
6.6,0.0973275161622412,77.5485537991959,38.6748738554555
6.7,3.30158321240434,80.0313486996574,39.370138878998
6.8,7.30420285966339,80.8815826496904,39.8957812215457
6.9,2.42873827668997,83.076489127247,40.2796149714888
7,6.17397273369182,84.508022045795,40.4295566957538
7.1,0.739013007312779,85.223272684841,41.1134242884879
7.2,3.28548722343332,87.8712119050254,41.672336536883
7.3,1.27725705237652,88.2670178434385,41.4139886846567
7.4,4.28009302494746,89.440980647435,41.7606960308405
7.5,3.93012656403554,93.0210259485161,42.962609749181
7.6,3.6366598874691,92.723029691891,42.6688868631341
7.7,0.523872059321031,93.8658879818133,42.6834979375883
7.8,4.29391018493716,96.1492073160638,43.2672901058356
7.9,0.728085129100449,98.726980428875,44.3390259264165
8,1.35863210824923,98.2951774326945,43.654352966083
8.1,3.25299764070542,98.6223583460815,43.3193597939569
8.2,0.281467474560382,101.83959082718,44.4241467538867
8.3,0.148907330982842,102.801433850586,44.5693034470054
8.4,2.12534380202422,104.774341290964,45.2069887618609
8.5,7.92609328732722,107.723080492651,45.804317677475
8.6,2.22472605914806,110.668701266244,47.046223966997
8.7,3.70373852439122,110.358521613694,46.6034623862073
8.8,1.38179587246028,110.465838807257,46.1424181460442
8.9,2.71123503761864,113.545101594549,47.3796207920491
9,4.05948201351037,115.803812052974,47.826894052557
9.1,3.37210244664267,119.797192718321,49.6298079590318
9.2,3.88915541489267,120.252067052132,49.1737819575928
9.3,3.94126672044329,122.247316683583,49.5635475825502
9.4,0.761485783136798,126.069732246526,51.2241517011628
9.5,0.690816229296491,125.697231603121,50.51953886366
9.6,11.6587464305743,127.677156742137,50.7286262928154
9.7,0.977993105397377,132.211796301795,52.6802349190063
9.8,6.81112288290718,131.373264004152,51.5824022645277
9.9,2.41704045946132,132.927626505075,51.763451206224
10,4.56641400847595,133.660150134734,51.974112908135
